Country,impVal,hs_code,hs2_code,hs_code_2024,naics_2024,naics_2022_mapped,mapping_source
Australia,10755.0,0202303000,2,0202303000,311611,311611,direct_2022
New Zealand,15843118.0,0202305015,2,0202305015,311611,311611,direct_2022
Australia,74902737.0,0202305025,2,0202305025,311611,311611,direct_2022
New Zealand,6076098.0,0202305025,2,0202305025,311611,311611,direct_2022
Australia,7374310.0,0202305035,2,0202305035,311611,311611,direct_2022
New Zealand,17895413.0,0202305035,2,0202305035,311611,311611,direct_2022
Australia,29018503.0,0202305045,2,0202305045,311611,311611,direct_2022
New Zealand,16049320.0,0202305045,2,0202305045,311611,311611,direct_2022
Australia,25357334.0,0202305055,2,0202305055,311611,311611,direct_2022
New Zealand,2728882.0,0202305055,2,0202305055,311611,311611,direct_2022
Australia,10422153.0,0202305065,2,0202305065,311611,311611,direct_2022
New Zealand,1112527.0,0202305065,2,0202305065,311611,311611,direct_2022
Australia,30736634.0,0202305075,2,0202305075,311611,311611,direct_2022
New Zealand,5298767.0,0202305075,2,0202305075,311611,311611,direct_2022
Australia,1474744167.0,0202305085,2,0202305085,311611,311611,direct_2022
New Zealand,958017268.0,0202305085,2,0202305085,311611,311611,direct_2022
Australia,154748.0,0202308000,2,0202308000,311611,311611,direct_2022
New Zealand,354235.0,0202308000,2,0202308000,311611,311611,direct_2022
Australia,102536.0,0204100000,2,0204100000,311611,311611,direct_2022
Australia,65738.0,0204210000,2,0204210000,311611,311611,direct_2022
Australia,16646385.0,0204222010,2,0204222010,311611,311611,direct_2022
New Zealand,3361741.0,0204222010,2,0204222010,311611,311611,direct_2022
Australia,10099938.0,0204222020,2,0204222020,311611,311611,direct_2022
New Zealand,3493348.0,0204222020,2,0204222020,311611,311611,direct_2022
Australia,79292620.0,0204222030,2,0204222030,311611,311611,direct_2022
New Zealand,16870192.0,0204222030,2,0204222030,311611,311611,direct_2022
Australia,328665072.0,0204222090,2,0204222090,311611,311611,direct_2022
New Zealand,55893624.0,0204222090,2,0204222090,311611,311611,direct_2022
New Zealand,13203.0,0204224000,2,0204224000,311611,311611,direct_2022
Australia,150098667.0,0204232000,2,0204232000,311611,311611,direct_2022
New Zealand,19959665.0,0204232000,2,0204232000,311611,311611,direct_2022
Australia,13037958.0,0204300000,2,0204300000,311611,311611,direct_2022
New Zealand,8623128.0,0204300000,2,0204300000,311611,311611,direct_2022
Australia,19301000.0,0204410000,2,0204410000,311611,311611,direct_2022
New Zealand,2612230.0,0204410000,2,0204410000,311611,311611,direct_2022
Australia,14103893.0,0204422010,2,0204422010,311611,311611,direct_2022
New Zealand,25334477.0,0204422010,2,0204422010,311611,311611,direct_2022
Australia,9685647.0,0204422020,2,0204422020,311611,311611,direct_2022
New Zealand,11731932.0,0204422020,2,0204422020,311611,311611,direct_2022
Australia,7143012.0,0204422030,2,0204422030,311611,311611,direct_2022
New Zealand,6325028.0,0204422030,2,0204422030,311611,311611,direct_2022
Australia,102130182.0,0204422090,2,0204422090,311611,311611,direct_2022
New Zealand,177113900.0,0204422090,2,0204422090,311611,311611,direct_2022
Australia,56851987.0,0204424000,2,0204424000,311611,311611,direct_2022
New Zealand,11132011.0,0204424000,2,0204424000,311611,311611,direct_2022
Australia,150463296.0,0204432000,2,0204432000,311611,311611,direct_2022
New Zealand,38892419.0,0204432000,2,0204432000,311611,311611,direct_2022
Australia,2087806.0,0204434000,2,0204434000,311611,311611,direct_2022
New Zealand,47846.0,0204434000,2,0204434000,311611,311611,direct_2022
Australia,136590578.0,0204500000,2,0204500000,311611,311611,direct_2022
New Zealand,625308.0,0204500000,2,0204500000,311611,311611,direct_2022
Australia,31684256.0,0206100000,2,0206100000,311611,311611,direct_2022
New Zealand,2076998.0,0206100000,2,0206100000,311611,311611,direct_2022
Australia,28462.0,0206210000,2,0206210000,311611,311611,direct_2022
